activity_clean,next_activity,count,median,mean,max
Get the Environment Data,Init Frame,63,0.029019,0.029756904761904762,0.040018
Weigh the whole Cotton Candy,Set cooldown time,63,0.045332,0.04596750793650794,0.060259
Cools Down Machine,Run until CC Head is optimally cooled,62,1.0068934999999999,0.8623185806451613,1.026221
Set the Stick Number,Run until CC Head is optimally warm,61,1.005253,0.9736810327868852,1.014922
Cools Down and Turns Off Machine,Get the Environment Data,60,0.001529,0.09211581666666667,2.118881
Sleep 1 Second,Fill Machine with Sugar,59,0.00289,0.011843525423728813,0.057447
Turns Off Machine,Turns Off Machine,59,0.001991,0.005629203389830508,0.045712
Create Cotton Candy,Get the Plug Data,58,0.009232,0.03634406896551724,0.512603
external,Show End,57,0.014093,0.018445543859649124,0.059308
Set waiting time,Get the Plug Data,57,0.017998,0.04726308771929824,0.915087
Get the Plug Data,Cools Down Machine,57,0.020706,0.2441451403508772,2.04458
Turns Off Machine & Stops Time,Turns Off Machine & Stops Time,55,0.000325,0.00817629090909091,0.042276
Sleep 1 Second,Set the Sugar Amount for Size,55,0.00513,0.011488872727272727,0.039867
Set cooldown time,external,54,0.022813,0.03870966666666667,0.490617
Sleep 1 Second,Create Cotton Candy,54,0.022345499999999997,0.1416587037037037,1.043222
external,Show Start,53,0.002259,0.01304945283018868,0.063434
Fill Machine with Sugar,Get the Environment Data,52,0.00141,0.10746169230769231,1.999964
Get the Plug Data,Fill Machine with Sugar,51,0.020669,0.5845841176470589,2.034118
Create Cotton Candy,Sleep 1 Second,51,0.975707,0.9598268235294118,1.969828
Measure the pressure of the three sides of the cotton candy,Wait 2 seconds,49,2.004401,1.6223760408163266,3.998493
external,Create Cotton Candy,49,0.023471,0.023548000000000003,0.056813
Wait 2 seconds,Set waiting time,48,0.0102905,0.0125274375,0.037842
external,Set waiting time,47,0.011589,0.013291106382978722,0.063932
Get the Environment Data,Show End,47,0.002537,0.055300425531914894,2.008384
Heat up Head,Get the Environment Data,45,0.109459,0.12305644444444444,1.14475
Run until CC Head is optimally cooled,Cools Down Machine,45,0.01468,0.0393846,1.017038
Get the Plug Data,Start Cooking Time,44,0.01936,0.018782136363636362,0.035158
For Simple Data Extraction,For Simple Data Extraction,44,0.000221,0.00035777272727272725,0.001133
Cools Down Machine,Get the Plug Data,44,0.0019315,0.07581575,1.013628
For Simple Data Extraction,external,44,0.018619,0.01884031818181818,0.02346
external,For Simple Data Extraction,44,0.010142,0.011439636363636364,0.022402
Get the Environment Data,Fill Machine with Sugar,44,0.024939000000000003,0.12443349999999999,2.021684
Get the Environment Data,Show Start,44,0.001921,0.05784681818181818,2.028864
Calculate Times & Differences,Calculate Times & Differences,43,0.00017,0.0006805116279069767,0.005195
Get the Environment Data,Place the Wood Stick in Center,43,0.005069,0.11439527906976744,2.019483
Get the Plug Data,Create Cotton Candy,43,0.029352,0.3128645581395349,2.03778
Sleep 1 Second,Show End,42,0.021824999999999997,0.0889825,0.823087
Get the Plug Data,Turn the Machine On,42,1.0254945,0.9115816904761905,2.033335
Sleep 1 Second,Show Start,41,0.01694,0.015015878048780486,0.037935
Turns Off Machine & Stops Time,external,41,0.019171,0.020665634146341465,0.039972
Get the Plug Data,Show Start,41,0.04386,0.8267507560975611,6.04666
external,Cools Down and Turns Off Machine,41,0.022499,0.05796814634146342,0.990741
Wait 2 seconds,Set the Stick Number,41,0.004425,0.011936780487804879,0.032919
Sleep 1 Second,Turns Off Machine & Stops Time,41,0.00308,0.01139090243902439,0.037594
Sleep 1 Second,Turns Off Machine,40,0.0016905,0.010472925,0.037857
Show as timestamps,Show as timestamps,40,0.0001675,0.000708675,0.004707
Wait 2 seconds,Run until CC Head is optimally cooled,40,1.0184455,1.019066325,1.039905
Cools Down Machine,Sleep 1 Second,40,1.0047325,0.9016316,1.032274
Show as timestamps,Measure the size of the Cotton Candy,39,0.028037,0.03024123076923077,0.046924
Run until CC Head is optimally warm,Set cooking time (Time Spinning),39,0.021482,0.018543410256410257,0.036509
external,Measure the pressure of the three sides of the cotton candy,38,0.0539235,0.09273994736842106,0.641833
Set the Sugar Amount for Size,external,38,0.016388,0.020687394736842103,0.074651
external,Calculate Times & Differences,38,0.010244,0.010630736842105262,0.01456
external,Turns Off Machine & Stops Time,37,0.015389,0.01591281081081081,0.036191
Weigh the whole Cotton Candy and Throw Away,Cools Down Machine,37,0.040756,0.04235583783783784,0.055614
external,Heat up Head,37,0.015516,0.015514648648648648,0.020633
Set the Stick Number,Get the Plug Data,37,0.005239,0.017136675675675676,0.066774
Calculate Times & Differences,Show as timestamps,36,0.024709000000000002,0.025132,0.031218
Weigh the whole Cotton Candy,external,36,0.017893,0.02471727777777778,0.061068
Heat up Head,Heat up Head,36,0.0022985,0.004869194444444444,0.030475
Wait 2 seconds,Weigh the whole Cotton Candy,36,0.0283555,0.024462583333333333,0.05159
external,Set cooking time (Time Spinning),36,0.0070005,0.0117345,0.046624
external,Clear Button,35,0.017944,0.021547628571428574,0.068435
Run until CC Head is optimally warm,Set waiting time,35,0.02627,0.025094028571428572,0.046776
Heat up Head,external,34,0.034239,0.033997617647058824,0.081131
Stop Time,Stop Time,34,0.0002005,0.0005337941176470587,0.004736
Set waiting time,Set cooking time (Time Spinning),33,0.036179,0.03884381818181818,0.062967
Place the Wood Stick in Center,Wait 2 seconds,33,1.97342,1.6280689393939394,5.939832
Set cooldown time,Cools Down and Turns Off Machine,33,0.031851,0.035302242424242423,0.071912
Call The Cottonbot with Data Collection,external,32,23.8532415,234.5094989375,3086.798502
Set the Sugar Amount for Size,Get the Plug Data,32,0.014551000000000001,0.0208310625,0.077594
Sleep 1 Second,Cools Down Machine,32,0.0132415,0.014643125,0.047095
Wait 2 seconds,Measure the size of the Cotton Candy,32,0.0118665,0.016462031250000002,0.047093
Stop Time,Get the Environment Data,31,0.087386,0.10849861290322581,1.022489
Run until CC Head is optimally warm,Place the Wood Stick in Center,31,0.019038,0.04992312903225807,1.029977
Get the Plug Data,Turns Off Machine,31,0.021426,0.3393472903225806,1.030647
external,Turns Off Machine,30,0.0159795,0.017106566666666666,0.039659
Weigh the whole Cotton Candy and Throw Away,Get the Plug Data,30,0.040604,0.07777063333333332,0.546957
Show Start,Get the Plug Data,30,0.029884,0.050590166666666665,0.404991
Run until CC Head is optimally warm,Set the Stick Number,30,0.024327,0.021800066666666666,0.036862
Get the Plug Data,Weigh the whole Cotton Candy and Throw Away,29,0.022679,0.07331044827586207,1.030928
Turns Off Machine,Get the Environment Data,29,0.01602,0.026967206896551722,0.092548
external,Fill Machine with Sugar,29,0.022606,0.019888551724137928,0.041799
Get the Plug Data,Show End,29,0.027857,0.6535378620689655,2.036801
Turns Off Machine,Sleep 1 Second,29,1.005404,0.8072107586206897,5.168304
Set waiting time,Wait 2 seconds,28,2.006612,2.006170535714286,5.99928
Get the Plug Data,Cools Down and Turns Off Machine,28,0.025037499999999997,0.4477633928571429,2.037427
Cools Down and Turns Off Machine,Get the Plug Data,28,0.025892,0.11277467857142857,2.071656
Turns Off Machine & Stops Time,Get the Environment Data,28,0.08672350000000001,0.06292839285714286,0.117883
Get the Environment Data,Cools Down Machine,27,0.030138,0.061769333333333336,0.99263
Turns Off Machine & Stops Time,Get the Plug Data,27,0.001572,0.01073751851851852,0.167417
Get the Plug Data,Set cooldown time,27,0.027168,0.4707704814814815,2.026817
Turns Off Machine & Stops Time,Sleep 1 Second,25,1.011155,0.8525391999999999,1.034889
Cools Down Machine,Turns Off Machine,25,0.034709,0.0411448,0.098357
Get the Plug Data,Turns Off Machine & Stops Time,25,0.014605,0.17414804,1.031139
Get the Environment Data,Set cooldown time,25,0.019885,0.10189524,2.031001
Set cooking time (Time Spinning),Sleep 1 Second,25,0.969593,0.9008002399999999,1.008422
Sleep 1 Second,Set cooking time (Time Spinning),25,0.018283,0.01432884,0.051016
Send UUID to registry,Send UUID to registry,24,0.0966515,0.14134241666666666,0.336995
Initialize the Start position of the first Stick (0 for the first,Initialize the Start position of the first Stick (0 for the first,24,0.000194,0.0003620416666666667,0.003769
Get the Environment Data,Stop Time,24,0.0031219999999999998,0.005157958333333333,0.030503
Initialize the Start position of the first Stick (0 for the first,external,24,0.029004500000000003,0.030130749999999998,0.044707
Sleep 1 Second,Heat up Head,23,0.001556,0.007872347826086956,0.034244
external,Initialize the Start position of the first Stick (0 for the first,23,0.019538,0.17362613043478262,1.829316
Set cooldown time,Get the Plug Data,23,0.022155,0.03635891304347826,0.218204
Set cooking time (Time Spinning),Run until CC Head is optimally warm,22,0.991057,0.815,1.009388
Place the Wood Stick in Center,Run until CC Head is optimally warm,22,0.978065,0.8502782727272727,1.940603
Wait 2 seconds,Set the Sugar Amount for Size,21,0.001731,0.012956714285714287,0.059996
Place the Wood Stick in Center,Sleep 1 Second,20,0.9826355,0.6960910499999999,1.016008
Sleep 1 Second,Set waiting time,20,0.017862,0.01484205,0.03137
Sleep 1 Second,Place the Wood Stick in Center,20,0.0023305,0.0102945,0.031852
Get the Environment Data,Turns Off Machine,20,0.0097515,0.0262315,0.097097
Initialize the max pressure of the CC,Move down and get function,20,0.061297000000000004,0.0612988,0.08013
Move to position 4,Move down and get function,19,0.051215,0.05833326315789474,0.091771
Clear Button,Get the Plug Data,19,0.004818,0.017857842105263158,0.111745
Fill Machine with Sugar,Wait 2 seconds,19,1.967951,1.5679744736842105,3.948493
Turn the Machine On,Get the Plug Data,19,0.013814,0.11920357894736841,1.939725
Get the Environment Data,Start Cooking Time,18,0.0031520000000000003,0.004098333333333333,0.011826
Cools Down Machine,Get the Environment Data,18,0.0030340000000000002,0.11924594444444445,1.009485
Measure the pressure of the three sides of the cotton candy,Sleep 1 Second,18,1.0074755,0.8992535555555556,1.051105
Show Start,Wait 2 seconds,18,0.0009325,0.6693618888888889,2.04202
Get the Environment Data,Turns Off Machine & Stops Time,18,0.0015925000000000002,0.001816388888888889,0.003925
Turns Off Machine,Get the Plug Data,17,0.001548,0.008438294117647058,0.047014
Set waiting time,Sleep 1 Second,17,0.981039,0.7545077058823529,1.029065
Set waiting time,Run until CC Head is optimally warm,17,1.00572,0.9403349411764707,1.013244
Weigh the whole Cotton Candy,Wait 2 seconds,17,2.012762,2.397163352941176,5.624715
Change to Time,Change to Time,17,0.000144,0.00021470588235294118,0.00072
Get the Environment Data,Cools Down and Turns Off Machine,17,0.019289,0.024231588235294116,0.097274
Change to Time,Measure the size of the Cotton Candy,16,0.02767,0.028244125,0.032161
Show Start,Turn the Machine On,16,0.0012585,0.004771500000000001,0.020622
Show End,Get the Plug Data,16,0.007532499999999999,0.0769215625,0.966629
Place the Wood Stick in Center,Set waiting time,15,0.044263,0.3110564666666667,2.06163
Measure the size of the Cotton Candy,Sleep 1 Second,15,0.980608,0.7979308666666667,1.035725
Create Cotton Candy,Wait 2 seconds,15,1.968281,1.7188836666666667,3.978067
